State,Survey Year,Age,Past Month Illicit Drug Use (total),Past Year Marijuana Use (total),Past Month Marijuana Use (total),Past Year Cocaine Use (total),Past Month Alcohol Use (total),Past Month Binge Alcohol Use (total),Past Month Cigarette Use (total),First Use of Marijuana (total),Past Month Illicit Drug Use Other Than Marijuana (total),Past Year Heroin Use (total),Past Year Methamphetamine Use (total),Past Year Misuse of Pain Relievers (total),Illicit Drug Use Disorder (total),Pain Reliever Use Disorder (total),Alcohol Use Disorder (total),Substance Use Disorder (total),Past Month Illicit Drug Use %,Past Year Marijuana Use %,Past Month Marijuana Use %,Past Year Cocaine Use %,Past Month Alcohol Use %,Past Month Binge Alcohol Use %,Past Month Cigarette Use %,First Use of Marijuana %,Past Month Illicit Drug Use Other Than Marijuana %,Past Year Heroin Use %,Past Year Methamphetamine Use %,Past Year Misuse of Pain Relievers %,Illicit Drug Use Disorder %,Pain Reliever Use Disorder %,Alcohol Use Disorder %,Substance Use Disorder %
Alaska,2017,26+,71.0,93.0,67.0,9.0,254.0,112.0,91.0,2.0,14.0,2.0,4.0,20.0,13.0,3.0,29.0,36.0,15.75,20.74,14.97,1.95,56.35,24.75,20.11,1.05,3.08,0.41,0.87,4.42,2.88,0.66,6.35,8.04
Alaska,2018,12+,106.0,139.0,97.0,13.0,304.0,136.0,101.0,9.0,20.0,3.0,6.0,27.0,20.0,3.0,40.0,54.0,18.05,23.72,16.56,2.19,51.83,23.18,17.24,3.39,3.4,0.52,0.96,4.64,3.44,0.58,6.88,9.22
Alaska,2018,12-17,5.0,10.0,5.0,0.0,5.0,3.0,3.0,4.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,3.0,9.19,16.42,7.88,0.45,8.96,4.85,4.32,7.8,2.16,0.07,0.24,2.83,3.49,0.48,2.07,4.37
Alaska,2018,18+,100.0,129.0,92.0,13.0,298.0,133.0,98.0,5.0,19.0,3.0,5.0,26.0,18.0,3.0,39.0,51.0,19.02,24.52,17.51,2.38,56.56,25.2,18.66,2.35,3.53,0.57,1.04,4.84,3.44,0.59,7.41,9.76
Alaska,2018,18-25,20.0,29.0,19.0,4.0,39.0,25.0,16.0,3.0,4.0,0.0,1.0,5.0,6.0,1.0,9.0,13.0,27.48,39.3,26.27,5.09,53.85,33.54,22.21,8.5,5.82,0.65,1.03,6.34,7.95,0.76,12.73,17.91
Alaska,2018,26+,80.0,101.0,73.0,9.0,259.0,108.0,82.0,2.0,14.0,3.0,5.0,21.0,12.0,3.0,30.0,38.0,17.66,22.14,16.1,1.95,56.99,23.86,18.09,1.14,3.16,0.56,1.04,4.6,2.71,0.56,6.56,8.44
Alaska,2019,12+,110.0,146.0,101.0,12.0,303.0,145.0,102.0,9.0,20.0,3.0,7.0,23.0,22.0,3.0,41.0,57.0,18.78,24.97,17.25,2.05,51.83,24.84,17.47,3.58,3.42,0.54,1.21,3.99,3.72,0.52,7.08,9.68
Alaska,2019,12-17,6.0,10.0,5.0,0.0,5.0,3.0,2.0,4.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,3.0,9.81,17.75,8.54,0.47,8.73,4.61,3.85,7.78,2.47,0.03,0.16,2.06,3.76,0.36,1.86,4.63
Alaska,2019,18+,104.0,136.0,96.0,12.0,298.0,143.0,100.0,5.0,19.0,3.0,7.0,22.0,20.0,3.0,40.0,54.0,19.76,25.75,18.2,2.23,56.53,27.05,18.95,2.62,3.52,0.6,1.33,4.2,3.71,0.54,7.65,10.23
Alaska,2019,18-25,22.0,29.0,22.0,4.0,38.0,24.0,14.0,3.0,4.0,0.0,1.0,4.0,6.0,1.0,9.0,13.0,30.9,41.3,30.71,5.09,53.48,33.68,19.55,10.11,5.59,0.32,1.09,5.2,8.77,0.74,12.42,18.52
Alaska,2019,26+,82.0,106.0,74.0,8.0,260.0,119.0,86.0,2.0,15.0,3.0,6.0,18.0,13.0,2.0,31.0,41.0,18.02,23.33,16.25,1.78,57.0,26.01,18.86,1.28,3.2,0.64,1.37,4.04,2.93,0.51,6.91,8.94
Arizona,2013,12+,564.0,699.0,426.0,120.0,2762.0,1242.0,1071.0,,,,,,,,,,10.44,12.94,7.88,2.22,51.12,22.99,19.82,,,,,,,,,
Arizona,2013,12-17,60.0,81.0,45.0,6.0,70.0,37.0,30.0,,,,,,,,,,11.05,15.03,8.25,1.13,12.9,6.88,5.46,,,,,,,,,
Arizona,2013,18+,504.0,618.0,381.0,114.0,2692.0,1205.0,1041.0,,,,,,,,,,10.37,12.71,7.84,2.34,55.37,24.78,21.42,,,,,,,,,
Arizona,2013,18-25,159.0,225.0,134.0,44.0,416.0,275.0,215.0,,,,,,,,,,22.1,31.26,18.54,6.08,57.66,38.11,29.82,,,,,,,,,
Arizona,2013,26+,345.0,392.0,248.0,70.0,2277.0,930.0,827.0,,,,,,,,,,8.32,9.47,5.98,1.69,54.97,22.46,19.96,,,,,,,,,
Arizona,2014,12+,614.0,752.0,483.0,124.0,2846.0,1281.0,1029.0,,,,,,,,,,11.17,13.69,8.8,2.25,51.8,23.32,18.73,,,,,,,,,
Arizona,2014,12-17,57.0,82.0,45.0,5.0,65.0,35.0,27.0,,,,,,,,,,10.41,15.12,8.3,1.01,11.9,6.39,4.95,,,,,,,,,
Arizona,2014,18+,557.0,670.0,438.0,118.0,2782.0,1247.0,1002.0,,,,,,,,,,11.25,13.53,8.85,2.38,56.18,25.18,20.24,,,,,,,,,
Arizona,2014,18-25,172.0,231.0,147.0,46.0,425.0,271.0,203.0,,,,,,,,,,23.48,31.53,20.04,6.23,58.02,36.97,27.64,,,,,,,,,
Arizona,2014,26+,385.0,439.0,291.0,72.0,2357.0,976.0,800.0,,,,,,,,,,9.13,10.4,6.9,1.72,55.87,23.13,18.96,,,,,,,,,
Arizona,2015,12+,,734.0,476.0,128.0,2865.0,,1076.0,67.0,,31.0,,,,,373.0,,,13.12,8.51,2.29,51.19,,19.23,2.15,,0.55,,,,,6.66,
Arizona,2015,12-17,,74.0,42.0,5.0,57.0,,23.0,29.0,,1.0,,,,,16.0,,,13.45,7.71,0.85,10.45,,4.15,6.09,,0.2,,,,,2.9,
Arizona,2015,18+,,661.0,434.0,123.0,2808.0,,1054.0,38.0,,30.0,,,,,357.0,,,13.08,8.59,2.44,55.6,,20.87,1.44,,0.59,,,,,7.06,
Arizona,2015,18-25,,231.0,140.0,51.0,418.0,,188.0,30.0,,7.0,,,,,92.0,,,31.15,18.92,6.92,56.38,,25.33,8.36,,0.9,,,,,12.36,
Arizona,2015,26+,,430.0,294.0,72.0,2390.0,,866.0,8.0,,23.0,,,,,265.0,,,9.97,6.81,1.67,55.47,,20.1,0.35,,0.54,,,,,6.15,
Arizona,2016,12+,568.0,696.0,422.0,118.0,2901.0,1285.0,1024.0,64.0,223.0,26.0,,267.0,198.0,43.0,304.0,431.0,9.97,12.22,7.42,2.07,50.94,22.56,17.98,2.01,3.92,0.45,,4.69,3.48,0.75,5.34,7.57
Arizona,2016,12-17,48.0,65.0,37.0,4.0,44.0,24.0,16.0,25.0,15.0,0.0,,23.0,26.0,4.0,13.0,31.0,8.79,11.86,6.75,0.79,7.95,4.43,2.94,5.12,2.72,0.03,,4.21,4.69,0.65,2.28,5.62
Arizona,2016,18+,520.0,631.0,385.0,113.0,2857.0,1260.0,1008.0,39.0,208.0,26.0,,244.0,172.0,39.0,292.0,400.0,10.1,12.26,7.49,2.2,55.53,24.49,19.59,1.46,4.05,0.5,,4.74,3.35,0.76,5.66,7.78
Arizona,2016,18-25,157.0,214.0,133.0,46.0,403.0,256.0,178.0,27.0,57.0,7.0,,59.0,65.0,8.0,85.0,124.0,21.05,28.68,17.81,6.22,54.01,34.25,23.81,7.31,7.62,0.88,,7.92,8.68,1.14,11.46,16.66
Arizona,2016,26+,363.0,417.0,252.0,67.0,2454.0,1005.0,830.0,12.0,151.0,19.0,,185.0,108.0,31.0,206.0,276.0,8.24,9.48,5.74,1.52,55.78,22.84,18.87,0.5,3.44,0.43,,4.2,2.44,0.7,4.68,6.28
Arizona,2017,12+,624.0,802.0,485.0,122.0,2917.0,1337.0,979.0,62.0,200.0,20.0,38.0,247.0,161.0,36.0,318.0,431.0,10.77,13.85,8.38,2.11,50.4,23.1,16.92,1.87,3.46,0.35,0.66,4.27,2.79,0.63,5.49,7.45
Arizona,2017,12-17,43.0,61.0,35.0,4.0,46.0,26.0,13.0,22.0,13.0,0.0,1.0,19.0,19.0,3.0,10.0,26.0,7.8,11.05,6.31,0.66,8.26,4.66,2.33,4.32,2.31,0.05,0.16,3.41,3.52,0.52,1.85,4.77
