State,Survey Year,Age,Past Month Illicit Drug Use (total),Past Year Marijuana Use (total),Past Month Marijuana Use (total),Past Year Cocaine Use (total),Past Month Alcohol Use (total),Past Month Binge Alcohol Use (total),Past Month Cigarette Use (total),First Use of Marijuana (total),Past Month Illicit Drug Use Other Than Marijuana (total),Past Year Heroin Use (total),Past Year Methamphetamine Use (total),Past Year Misuse of Pain Relievers (total),Illicit Drug Use Disorder (total),Pain Reliever Use Disorder (total),Alcohol Use Disorder (total),Substance Use Disorder (total),Past Month Illicit Drug Use %,Past Year Marijuana Use %,Past Month Marijuana Use %,Past Year Cocaine Use %,Past Month Alcohol Use %,Past Month Binge Alcohol Use %,Past Month Cigarette Use %,First Use of Marijuana %,Past Month Illicit Drug Use Other Than Marijuana %,Past Year Heroin Use %,Past Year Methamphetamine Use %,Past Year Misuse of Pain Relievers %,Illicit Drug Use Disorder %,Pain Reliever Use Disorder %,Alcohol Use Disorder %,Substance Use Disorder %
Tennessee,2017,12-17,38.0,60.0,29.0,3.0,46.0,25.0,24.0,22.0,13.0,0.0,1.0,17.0,16.0,3.0,8.0,20.0,7.49,11.68,5.75,0.5,9.01,4.84,4.72,4.77,2.6,0.05,0.16,3.32,3.1,0.49,1.66,3.86
Tennessee,2017,18+,500.0,688.0,418.0,102.0,2395.0,1115.0,1283.0,30.0,181.0,19.0,30.0,216.0,135.0,40.0,261.0,353.0,9.84,13.55,8.23,2.01,47.16,21.96,25.27,1.16,3.56,0.37,0.58,4.25,2.66,0.78,5.14,6.94
Tennessee,2017,18-25,158.0,223.0,135.0,37.0,351.0,205.0,191.0,23.0,54.0,5.0,7.0,56.0,51.0,9.0,65.0,98.0,22.69,32.11,19.49,5.26,50.52,29.48,27.56,6.37,7.79,0.66,1.07,8.03,7.34,1.34,9.42,14.12
Tennessee,2017,26+,342.0,465.0,282.0,65.0,2044.0,910.0,1092.0,6.0,127.0,14.0,22.0,160.0,84.0,30.0,196.0,254.0,7.8,10.61,6.44,1.49,46.63,20.77,24.91,0.31,2.89,0.32,0.51,3.65,1.92,0.69,4.46,5.81
Tennessee,2018,12+,564.0,739.0,482.0,106.0,2458.0,1124.0,1205.0,50.0,181.0,18.0,43.0,211.0,157.0,42.0,258.0,377.0,9.99,13.09,8.55,1.88,43.55,19.91,21.35,1.6,3.2,0.32,0.77,3.75,2.78,0.74,4.57,6.68
Tennessee,2018,12-17,39.0,59.0,31.0,2.0,48.0,26.0,22.0,24.0,12.0,0.0,1.0,13.0,15.0,2.0,9.0,20.0,7.54,11.61,6.11,0.47,9.35,5.14,4.34,5.07,2.41,0.05,0.24,2.57,2.96,0.4,1.74,3.91
Tennessee,2018,18+,525.0,679.0,451.0,103.0,2411.0,1097.0,1183.0,26.0,169.0,18.0,42.0,198.0,142.0,40.0,249.0,357.0,10.24,13.24,8.79,2.02,46.96,21.38,23.04,1.02,3.28,0.35,0.82,3.86,2.76,0.78,4.86,6.95
Tennessee,2018,18-25,150.0,207.0,137.0,35.0,337.0,187.0,174.0,21.0,44.0,4.0,10.0,47.0,47.0,8.0,56.0,90.0,21.73,29.95,19.88,5.02,48.84,27.07,25.19,5.53,6.35,0.63,1.38,6.84,6.82,1.15,8.16,13.08
Tennessee,2018,26+,375.0,473.0,314.0,69.0,2073.0,910.0,1009.0,5.0,125.0,14.0,33.0,151.0,95.0,32.0,193.0,267.0,8.45,10.64,7.07,1.55,46.67,20.49,22.71,0.27,2.81,0.31,0.73,3.4,2.13,0.72,4.34,6.0
Tennessee,2019,12+,578.0,780.0,499.0,87.0,2504.0,1194.0,1180.0,64.0,176.0,17.0,58.0,202.0,160.0,39.0,276.0,395.0,10.15,13.68,8.75,1.53,43.94,20.96,20.72,1.87,3.08,0.3,1.02,3.54,2.81,0.68,4.85,6.93
Tennessee,2019,12-17,35.0,55.0,29.0,2.0,47.0,26.0,20.0,24.0,11.0,0.0,1.0,12.0,16.0,2.0,8.0,21.0,6.87,10.65,5.7,0.36,9.12,5.07,3.94,4.94,2.23,0.02,0.26,2.35,3.06,0.37,1.63,4.0
Tennessee,2019,18+,543.0,725.0,469.0,85.0,2457.0,1168.0,1160.0,39.0,164.0,17.0,57.0,190.0,144.0,37.0,268.0,375.0,10.47,13.98,9.05,1.64,47.38,22.53,22.37,1.38,3.17,0.33,1.09,3.66,2.78,0.71,5.17,7.22
Tennessee,2019,18-25,135.0,203.0,125.0,25.0,354.0,204.0,165.0,28.0,35.0,4.0,7.0,36.0,45.0,6.0,63.0,90.0,19.61,29.45,18.22,3.57,51.53,29.71,24.06,7.04,5.11,0.52,1.07,5.2,6.53,0.81,9.15,13.1
Tennessee,2019,26+,408.0,523.0,344.0,61.0,2102.0,964.0,995.0,11.0,129.0,13.0,49.0,154.0,99.0,31.0,205.0,284.0,9.07,11.62,7.65,1.35,46.74,21.43,22.12,0.48,2.87,0.3,1.09,3.42,2.21,0.69,4.56,6.32
Texas,2013,12+,1509.0,1972.0,1117.0,298.0,9827.0,4710.0,4196.0,,,,,,,,,,7.17,9.38,5.31,1.42,46.71,22.39,19.94,,,,,,,,,
Texas,2013,12-17,179.0,259.0,134.0,17.0,263.0,147.0,119.0,,,,,,,,,,7.81,11.27,5.83,0.74,11.46,6.38,5.17,,,,,,,,,
Texas,2013,18+,1329.0,1714.0,983.0,281.0,9564.0,4563.0,4077.0,,,,,,,,,,7.1,9.15,5.25,1.5,51.03,24.35,21.75,,,,,,,,,
Texas,2013,18-25,491.0,742.0,411.0,119.0,1652.0,1044.0,881.0,,,,,,,,,,16.57,25.03,13.88,4.02,55.74,35.22,29.7,,,,,,,,,
Texas,2013,26+,838.0,972.0,572.0,162.0,7912.0,3519.0,3196.0,,,,,,,,,,5.31,6.16,3.62,1.02,50.14,22.3,20.26,,,,,,,,,
Texas,2014,12+,1629.0,2043.0,1275.0,283.0,10143.0,4782.0,4344.0,,,,,,,,,,7.59,9.52,5.94,1.32,47.27,22.29,20.24,,,,,,,,,
Texas,2014,12-17,195.0,251.0,142.0,14.0,252.0,135.0,100.0,,,,,,,,,,8.37,10.79,6.12,0.58,10.81,5.79,4.29,,,,,,,,,
Texas,2014,18+,1434.0,1792.0,1132.0,270.0,9892.0,4647.0,4245.0,,,,,,,,,,7.5,9.37,5.92,1.41,51.71,24.3,22.18,,,,,,,,,
Texas,2014,18-25,523.0,760.0,453.0,111.0,1689.0,1037.0,862.0,,,,,,,,,,17.36,25.25,15.06,3.67,56.11,34.44,28.63,,,,,,,,,
Texas,2014,26+,911.0,1032.0,679.0,159.0,8202.0,3610.0,3383.0,,,,,,,,,,5.65,6.4,4.21,0.99,50.88,22.4,20.98,,,,,,,,,
Texas,2015,12+,,2213.0,1336.0,310.0,10499.0,,4196.0,234.0,,25.0,,,,,1305.0,,,10.1,6.1,1.41,47.9,,19.13,1.65,,0.11,,,,,5.95,
Texas,2015,12-17,,276.0,162.0,16.0,235.0,,92.0,105.0,,1.0,,,,,70.0,,,11.7,6.86,0.7,9.96,,3.91,4.87,,0.05,,,,,2.98,
Texas,2015,18+,,1937.0,1174.0,294.0,10264.0,,4103.0,129.0,,24.0,,,,,1234.0,,,9.9,6.0,1.5,52.48,,20.97,1.08,,0.12,,,,,6.31,
Texas,2015,18-25,,771.0,461.0,128.0,1678.0,,805.0,106.0,,12.0,,,,,327.0,,,25.21,15.08,4.19,54.86,,26.34,6.08,,0.39,,,,,10.7,
Texas,2015,26+,,1166.0,713.0,166.0,8587.0,,3298.0,23.0,,12.0,,,,,907.0,,,7.07,4.32,1.0,52.03,,19.99,0.23,,0.07,,,,,5.5,
Texas,2016,12+,1685.0,2264.0,1320.0,316.0,10523.0,5287.0,4152.0,217.0,645.0,46.0,,1000.0,536.0,144.0,1139.0,1491.0,7.54,10.14,5.91,1.41,47.14,23.68,18.6,1.5,2.89,0.2,,4.48,2.4,0.64,5.1,6.68
Texas,2016,12-17,181.0,251.0,142.0,14.0,212.0,119.0,70.0,99.0,78.0,1.0,,101.0,76.0,18.0,57.0,109.0,7.56,10.47,5.94,0.57,8.86,4.95,2.9,4.52,3.24,0.04,,4.22,3.16,0.73,2.38,4.54
Texas,2016,18+,1504.0,2013.0,1178.0,302.0,10311.0,5169.0,4083.0,118.0,568.0,45.0,,899.0,460.0,126.0,1082.0,1382.0,7.54,10.1,5.91,1.51,51.74,25.94,20.49,0.97,2.85,0.22,,4.51,2.31,0.63,5.43,6.93
Texas,2016,18-25,531.0,784.0,450.0,145.0,1624.0,1069.0,736.0,100.0,197.0,13.0,,213.0,191.0,29.0,299.0,422.0,17.23,25.42,14.58,4.69,52.66,34.68,23.86,5.5,6.4,0.44,,6.92,6.2,0.96,9.69,13.68
Texas,2016,26+,973.0,1229.0,729.0,157.0,8687.0,4099.0,3347.0,18.0,371.0,31.0,,686.0,269.0,97.0,783.0,960.0,5.78,7.3,4.33,0.93,51.58,24.34,19.87,0.18,2.2,0.19,,4.07,1.6,0.58,4.65,5.7
Texas,2017,12+,1736.0,2396.0,1357.0,334.0,10698.0,5302.0,4163.0,227.0,639.0,68.0,128.0,912.0,519.0,125.0,1040.0,1394.0,7.64,10.55,5.98,1.47,47.12,23.35,18.33,1.54,2.81,0.3,0.56,4.02,2.28,0.55,4.58,6.14
Texas,2017,12-17,151.0,234.0,118.0,11.0,213.0,104.0,59.0,95.0,60.0,1.0,3.0,82.0,62.0,14.0,39.0,88.0,6.23,9.61,4.86,0.46,8.77,4.27,2.41,4.21,2.47,0.04,0.13,3.39,2.56,0.58,1.6,3.61
Texas,2017,18+,1584.0,2163.0,1239.0,323.0,10485.0,5198.0,4105.0,132.0,579.0,67.0,125.0,830.0,456.0,110.0,1001.0,1307.0,7.81,10.67,6.11,1.59,51.72,25.64,20.25,1.06,2.86,0.33,0.62,4.09,2.25,0.54,4.94,6.44
Texas,2017,18-25,530.0,808.0,452.0,136.0,1594.0,1039.0,691.0,103.0,189.0,21.0,35.0,214.0,202.0,28.0,280.0,421.0,17.17,26.19,14.63,4.42,51.65,33.67,22.38,5.56,6.12,0.67,1.12,6.94,6.56,0.91,9.06,13.62
Texas,2017,26+,1054.0,1354.0,788.0,186.0,8891.0,4158.0,3414.0,29.0,390.0,46.0,90.0,616.0,254.0,82.0,722.0,886.0,6.14,7.88,4.59,1.08,51.74,24.2,19.87,0.27,2.27,0.27,0.52,3.58,1.48,0.48,4.2,5.16
Texas,2018,12+,1814.0,2559.0,1402.0,328.0,10700.0,5514.0,3974.0,265.0,682.0,48.0,127.0,860.0,500.0,99.0,1023.0,1388.0,7.85,11.07,6.06,1.42,46.3,23.86,17.19,1.69,2.95,0.21,0.55,3.72,2.17,0.43,4.43,6.01
Texas,2018,12-17,150.0,244.0,119.0,11.0,202.0,99.0,55.0,102.0,55.0,1.0,3.0,80.0,55.0,8.0,32.0,80.0,6.1,9.9,4.82,0.44,8.2,4.02,2.24,4.37,2.25,0.04,0.13,3.25,2.24,0.34,1.31,3.24
Texas,2018,18+,1664.0,2315.0,1284.0,317.0,10498.0,5415.0,3918.0,163.0,626.0,47.0,123.0,780.0,445.0,91.0,991.0,1308.0,8.06,11.21,6.21,1.54,50.84,26.22,18.98,1.22,3.03,0.23,0.6,3.78,2.16,0.44,4.8,6.34
Texas,2018,18-25,524.0,817.0,455.0,124.0,1557.0,971.0,609.0,119.0,180.0,14.0,25.0,191.0,180.0,24.0,257.0,392.0,16.91,26.36,14.67,3.99,50.25,31.35,19.66,6.22,5.79,0.45,0.82,6.16,5.79,0.76,8.3,12.66
Texas,2018,26+,1140.0,1498.0,829.0,194.0,8941.0,4443.0,3309.0,44.0,447.0,33.0,98.0,589.0,266.0,67.0,734.0,916.0,6.5,8.54,4.72,1.1,50.96,25.32,18.86,0.36,2.55,0.19,0.56,3.36,1.51,0.38,4.18,5.22
Texas,2019,12+,2054.0,2862.0,1688.0,346.0,11179.0,5665.0,3913.0,297.0,687.0,34.0,119.0,850.0,519.0,85.0,1074.0,1447.0,8.75,12.19,7.19,1.47,47.64,24.14,16.67,1.87,2.93,0.15,0.51,3.62,2.21,0.36,4.57,6.16
Texas,2019,12-17,177.0,271.0,148.0,11.0,226.0,114.0,55.0,113.0,60.0,0.0,3.0,73.0,63.0,8.0,36.0,87.0,7.12,10.92,5.94,0.44,9.1,4.58,2.19,4.86,2.4,0.01,0.11,2.92,2.52,0.34,1.43,3.49
Texas,2019,18+,1877.0,2591.0,1541.0,335.0,10953.0,5551.0,3858.0,184.0,628.0,34.0,116.0,777.0,456.0,76.0,1038.0,1360.0,8.94,12.35,7.34,1.6,52.2,26.45,18.39,1.35,2.99,0.16,0.55,3.7,2.17,0.36,4.95,6.48
Texas,2019,18-25,550.0,817.0,484.0,128.0,1583.0,966.0,568.0,127.0,171.0,7.0,22.0,167.0,173.0,17.0,259.0,389.0,17.65,26.22,15.51,4.12,50.79,31.0,18.22,6.47,5.48,0.22,0.71,5.34,5.54,0.54,8.31,12.48
Texas,2019,26+,1327.0,1774.0,1057.0,207.0,9370.0,4585.0,3291.0,57.0,457.0,27.0,94.0,611.0,283.0,59.0,779.0,971.0,7.43,9.93,5.92,1.16,52.45,25.67,18.42,0.48,2.56,0.15,0.53,3.42,1.58,0.33,4.36,5.44
United States,2013,12+,24218.0,32231.0,19332.0,4427.0,136188.0,59876.0,56648.0,,,,,,,,,,9.27,12.34,7.4,1.69,52.13,22.92,21.69,,,,,,,,,
United States,2013,12-17,2287.0,3355.0,1781.0,156.0,3047.0,1678.0,1516.0,,,,,,,,,,9.18,13.47,7.15,0.63,12.23,6.73,6.08,,,,,,,,,
United States,2013,18+,21931.0,28877.0,17551.0,4271.0,133141.0,58199.0,55132.0,,,,,,,,,,9.28,12.22,7.43,1.81,56.34,24.63,23.33,,,,,,,,,
United States,2013,18-25,7436.0,10944.0,6560.0,1572.0,20783.0,13424.0,10832.0,,,,,,,,,,21.44,31.55,18.91,4.53,59.91,38.7,31.23,,,,,,,,,
United States,2013,26+,14495.0,17933.0,10991.0,2699.0,112358.0,44774.0,44300.0,,,,,,,,,,7.19,8.89,5.45,1.34,55.73,22.21,21.97,,,,,,,,,
United States,2014,12+,25779.0,34038.0,20999.0,4368.0,138279.0,60505.0,55507.0,,,,,,,,,,9.77,12.9,7.96,1.66,52.42,22.94,21.05,,,,,,,,,
United States,2014,12-17,2267.0,3304.0,1796.0,149.0,2875.0,1534.0,1305.0,,,,,,,,,,9.11,13.28,7.22,0.6,11.55,6.16,5.24,,,,,,,,,
United States,2014,18+,23511.0,30734.0,19203.0,4218.0,135404.0,58971.0,54202.0,,,,,,,,,,9.84,12.87,8.04,1.77,56.68,24.69,22.69,,,,,,,,,
United States,2014,18-25,7583.0,11077.0,6736.0,1573.0,20777.0,13185.0,10281.0,,,,,,,,,,21.75,31.78,19.32,4.51,59.6,37.82,29.49,,,,,,,,,
United States,2014,26+,15928.0,19657.0,12467.0,2645.0,114627.0,45786.0,43921.0,,,,,,,,,,7.81,9.63,6.11,1.3,56.18,22.44,21.53,,,,,,,,,
United States,2015,12+,,35584.0,22207.0,4690.0,139003.0,,53594.0,2958.0,,871.0,,,,,16365.0,,,13.36,8.34,1.76,52.18,,20.12,1.95,,0.33,,,,,6.14,
United States,2015,12-17,,3200.0,1791.0,160.0,2632.0,,1126.0,1193.0,,25.0,,,,,651.0,,,12.86,7.2,0.64,10.58,,4.53,5.41,,0.1,,,,,2.62,
United States,2015,18+,,32385.0,20416.0,4530.0,136371.0,,52468.0,1764.0,,846.0,,,,,15715.0,,,13.41,8.45,1.88,56.46,,21.72,1.36,,0.35,,,,,6.51,
United States,2015,18-25,,11200.0,6879.0,1740.0,20591.0,,9617.0,1414.0,,242.0,,,,,4053.0,,,32.07,19.7,4.98,58.96,,27.54,7.88,,0.69,,,,,11.61,
United States,2015,26+,,21185.0,13537.0,2791.0,115780.0,,42851.0,351.0,,604.0,,,,,11662.0,,,10.25,6.55,1.35,56.04,,20.74,0.31,,0.29,,,,,5.64,
United States,2016,12+,27822.0,36806.0,23103.0,4950.0,137531.0,66009.0,51642.0,3002.0,9195.0,888.0,,11989.0,7559.0,1896.0,15396.0,20461.0,10.36,13.71,8.6,1.84,51.21,24.58,19.23,1.96,3.42,0.33,,4.46,2.81,0.71,5.73,7.62
United States,2016,12-17,2076.0,3060.0,1681.0,144.0,2341.0,1328.0,947.0,1169.0,675.0,17.0,,925.0,822.0,137.0,555.0,1148.0,8.34,12.29,6.75,0.58,9.4,5.33,3.8,5.25,2.71,0.07,,3.72,3.3,0.55,2.23,4.61
United States,2016,18+,25746.0,33747.0,21423.0,4806.0,135190.0,64682.0,50695.0,1833.0,8520.0,871.0,,11064.0,6737.0,1758.0,14841.0,19313.0,10.57,13.85,8.79,1.97,55.48,26.54,20.81,1.4,3.5,0.36,,4.54,2.76,0.72,6.09,7.93
United States,2016,18-25,7904.0,11323.0,7052.0,1897.0,20060.0,13442.0,8725.0,1392.0,2542.0,222.0,,2717.0,2479.0,359.0,3752.0,5282.0,22.75,32.6,20.3,5.46,57.75,38.69,25.12,7.74,7.32,0.64,,7.82,7.14,1.03,10.8,15.2
United States,2016,26+,17841.0,22424.0,14370.0,2908.0,115130.0,51240.0,41970.0,440.0,5978.0,649.0,,8347.0,4258.0,1399.0,11088.0,14031.0,8.54,10.73,6.88,1.39,55.1,24.52,20.09,0.39,2.86,0.31,,4.0,2.04,0.67,5.31,6.72
United States,2017,12+,29519.0,39252.0,24988.0,5507.0,138664.0,65982.0,50013.0,3105.0,9139.0,917.0,1512.0,11297.0,7463.0,1715.0,14781.0,19906.0,10.9,14.5,9.23,2.03,51.21,24.37,18.47,2.03,3.38,0.34,0.56,4.17,2.76,0.63,5.46,7.35
United States,2017,12-17,1962.0,3038.0,1611.0,131.0,2377.0,1262.0,821.0,1167.0,605.0,13.0,40.0,824.0,765.0,125.0,465.0,1028.0,7.88,12.19,6.46,0.53,9.54,5.06,3.29,5.22,2.43,0.05,0.16,3.31,3.07,0.5,1.87,4.13
United States,2017,18+,27557.0,36214.0,23377.0,5376.0,136287.0,64720.0,49192.0,1938.0,8533.0,903.0,1472.0,10473.0,6698.0,1590.0,14315.0,18878.0,11.21,14.73,9.51,2.19,55.43,26.33,20.01,1.48,3.47,0.37,0.6,4.26,2.72,0.65,5.82,7.68
United States,2017,18-25,8156.0,11678.0,7387.0,2023.0,19542.0,12955.0,7887.0,1425.0,2436.0,220.0,320.0,2457.0,2470.0,315.0,3564.0,5156.0,23.69,33.91,21.45,5.88,56.74,37.62,22.9,7.98,7.07,0.64,0.93,7.13,7.17,0.91,10.35,14.97
United States,2017,26+,19400.0,24535.0,15990.0,3353.0,116745.0,51765.0,41305.0,513.0,6097.0,683.0,1152.0,8016.0,4228.0,1275.0,10751.0,13722.0,9.18,11.61,7.56,1.59,55.22,24.49,19.54,0.45,2.88,0.32,0.55,3.79,2.0,0.6,5.09,6.49
United States,2018,12+,31197.0,42211.0,26832.0,5736.0,140213.0,66848.0,47823.0,3317.0,9007.0,847.0,1750.0,10512.0,7819.0,1686.0,14661.0,19979.0,11.43,15.47,9.83,2.1,51.37,24.49,17.52,2.17,3.3,0.31,0.64,3.85,2.86,0.62,5.37,7.32
United States,2018,12-17,1983.0,3102.0,1635.0,119.0,2349.0,1239.0,730.0,1229.0,597.0,12.0,45.0,731.0,711.0,101.0,422.0,954.0,7.96,12.45,6.56,0.48,9.43,4.97,2.93,5.5,2.39,0.05,0.18,2.93,2.85,0.41,1.69,3.83
United States,2018,18+,29214.0,39110.0,25197.0,5617.0,137864.0,65609.0,47094.0,2087.0,8410.0,835.0,1704.0,9782.0,7108.0,1585.0,14240.0,19026.0,11.78,15.77,10.16,2.26,55.59,26.45,18.99,1.6,3.39,0.34,0.69,3.94,2.87,0.64,5.74,7.67
United States,2018,18-25,8216.0,11892.0,7559.0,2047.0,19044.0,12264.0,7084.0,1485.0,2243.0,186.0,324.0,2159.0,2555.0,293.0,3434.0,5097.0,24.04,34.8,22.12,5.99,55.73,35.89,20.73,8.32,6.56,0.54,0.95,6.32,7.48,0.86,10.05,14.92
United States,2018,26+,20998.0,27217.0,17637.0,3569.0,118821.0,53345.0,40010.0,602.0,6167.0,649.0,1380.0,7622.0,4553.0,1291.0,10806.0,13928.0,9.82,12.73,8.25,1.67,55.57,24.95,18.71,0.53,2.88,0.3,0.65,3.56,2.13,0.6,5.05,6.51
United States,2019,12+,33861.0,45865.0,29637.0,5499.0,139783.0,66453.0,46420.0,3524.0,9094.0,776.0,1933.0,9836.0,8204.0,1530.0,14661.0,20331.0,12.34,16.71,10.8,2.0,50.92,24.21,16.91,2.31,3.31,0.28,0.7,3.58,2.99,0.56,5.34,7.41
United States,2019,12-17,2084.0,3197.0,1748.0,104.0,2289.0,1190.0,622.0,1269.0,591.0,5.0,42.0,631.0,788.0,95.0,407.0,1017.0,8.37,12.84,7.02,0.42,9.19,4.78,2.5,5.7,2.37,0.02,0.17,2.53,3.16,0.38,1.64,4.08
United States,2019,18+,31777.0,42668.0,27889.0,5394.0,137493.0,65263.0,45798.0,2254.0,8503.0,771.0,1891.0,9205.0,7416.0,1435.0,14254.0,19314.0,12.73,17.1,11.17,2.16,55.09,26.15,18.35,1.73,3.41,0.31,0.76,3.69,2.97,0.57,5.71,7.74
United States,2019,18-25,8268.0,11890.0,7639.0,1878.0,18540.0,11718.0,6216.0,1502.0,2056.0,122.0,274.0,1806.0,2556.0,222.0,3278.0,4944.0,24.4,35.09,22.54,5.54,54.72,34.58,18.34,8.39,6.07,0.36,0.81,5.33,7.54,0.65,9.67,14.59
United States,2019,26+,23509.0,30778.0,20251.0,3517.0,118953.0,53545.0,39582.0,752.0,6447.0,649.0,1616.0,7399.0,4859.0,1213.0,10976.0,14369.0,10.9,14.27,9.39,1.63,55.15,24.82,18.35,0.67,2.99,0.3,0.75,3.43,2.25,0.56,5.09,6.66
Utah,2013,12+,156.0,196.0,114.0,35.0,700.0,364.0,392.0,,,,,,,,,,6.98,8.76,5.07,1.55,31.3,16.25,17.52,,,,,,,,,
Utah,2013,12-17,20.0,27.0,15.0,1.0,22.0,16.0,15.0,,,,,,,,,,7.33,9.95,5.35,0.53,7.82,5.85,5.4,,,,,,,,,
Utah,2013,18+,136.0,169.0,99.0,33.0,679.0,348.0,377.0,,,,,,,,,,6.93,8.59,5.03,1.7,34.62,17.73,19.23,,,,,,,,,
Utah,2013,18-25,52.0,75.0,40.0,13.0,127.0,96.0,87.0,,,,,,,,,,14.2,20.52,10.91,3.53,34.46,26.16,23.6,,,,,,,,,
Utah,2013,26+,84.0,93.0,59.0,20.0,552.0,252.0,291.0,,,,,,,,,,5.26,5.85,3.68,1.28,34.65,15.78,18.24,,,,,,,,,
Utah,2014,12+,167.0,224.0,127.0,25.0,727.0,363.0,354.0,,,,,,,,,,7.31,9.84,5.58,1.08,31.9,15.91,15.52,,,,,,,,,
Utah,2014,12-17,20.0,29.0,15.0,1.0,19.0,15.0,13.0,,,,,,,,,,7.12,10.12,5.42,0.36,6.76,5.16,4.6,,,,,,,,,
Utah,2014,18+,146.0,196.0,112.0,24.0,708.0,348.0,342.0,,,,,,,,,,7.33,9.81,5.61,1.19,35.48,17.44,17.09,,,,,,,,,
Utah,2014,18-25,54.0,84.0,43.0,12.0,136.0,97.0,78.0,,,,,,,,,,14.43,22.65,11.55,3.24,36.61,26.08,20.8,,,,,,,,,
Utah,2014,26+,93.0,111.0,69.0,12.0,572.0,251.0,264.0,,,,,,,,,,5.71,6.85,4.25,0.72,35.21,15.45,16.25,,,,,,,,,
Utah,2015,12+,,211.0,117.0,20.0,728.0,,313.0,25.0,,5.0,,,,,111.0,,,9.07,5.04,0.87,31.31,,13.44,1.38,,0.22,,,,,4.79,
Utah,2015,12-17,,26.0,13.0,1.0,16.0,,10.0,10.0,,0.0,,,,,7.0,,,9.0,4.54,0.4,5.44,,3.34,3.05,,0.09,,,,,2.26,
Utah,2015,18+,,185.0,104.0,19.0,713.0,,304.0,15.0,,5.0,,,,,105.0,,,9.09,5.11,0.94,34.99,,14.88,1.05,,0.24,,,,,5.15,
Utah,2015,18-25,,81.0,42.0,10.0,132.0,,64.0,13.0,,2.0,,,,,37.0,,,21.44,11.07,2.73,34.77,,16.99,4.93,,0.45,,,,,9.85,
Utah,2015,26+,,104.0,62.0,9.0,581.0,,239.0,2.0,,3.0,,,,,68.0,,,6.25,3.75,0.53,35.04,,14.43,0.18,,0.19,,,,,4.08,
Utah,2016,12+,176.0,229.0,125.0,31.0,709.0,392.0,319.0,29.0,79.0,7.0,,117.0,63.0,21.0,102.0,145.0,7.37,9.62,5.25,1.28,29.83,16.49,13.43,1.63,3.31,0.31,,4.93,2.66,0.89,4.28,6.08
Utah,2016,12-17,18.0,28.0,13.0,2.0,15.0,10.0,8.0,11.0,6.0,0.0,,11.0,8.0,2.0,6.0,12.0,5.96,9.64,4.32,0.81,5.25,3.54,2.85,3.47,2.07,0.06,,3.71,2.6,0.51,1.87,4.16
Utah,2016,18+,158.0,201.0,112.0,28.0,693.0,382.0,311.0,18.0,73.0,7.0,,106.0,56.0,20.0,96.0,132.0,7.57,9.62,5.38,1.34,33.29,18.32,14.92,1.26,3.48,0.34,,5.1,2.67,0.95,4.62,6.35
Utah,2016,18-25,58.0,84.0,47.0,14.0,145.0,108.0,72.0,15.0,23.0,2.0,,32.0,27.0,6.0,34.0,46.0,15.04,21.76,12.07,3.53,37.41,27.81,18.63,5.71,6.06,0.49,,8.29,6.85,1.54,8.74,11.82
Utah,2016,26+,100.0,116.0,65.0,14.0,549.0,274.0,239.0,3.0,49.0,5.0,,74.0,29.0,14.0,62.0,87.0,5.88,6.87,3.86,0.85,32.37,16.18,14.09,0.29,2.9,0.31,,4.37,1.72,0.81,3.69,5.11
Utah,2017,12+,196.0,253.0,152.0,42.0,711.0,394.0,324.0,32.0,75.0,9.0,20.0,113.0,72.0,19.0,119.0,165.0,8.05,10.4,6.25,1.71,29.25,16.22,13.34,1.7,3.09,0.37,0.81,4.66,2.95,0.79,4.89,6.78
Utah,2017,12-17,18.0,28.0,14.0,2.0,17.0,11.0,8.0,11.0,7.0,0.0,1.0,10.0,8.0,2.0,5.0,12.0,6.1,9.2,4.71,0.69,5.77,3.57,2.66,3.19,2.2,0.04,0.2,3.45,2.72,0.51,1.75,3.84
Utah,2017,18+,178.0,226.0,138.0,40.0,693.0,384.0,316.0,21.0,69.0,9.0,19.0,103.0,64.0,18.0,114.0,153.0,8.32,10.58,6.47,1.85,32.54,18.0,14.84,1.4,3.21,0.41,0.89,4.83,2.99,0.83,5.33,7.19
Utah,2017,18-25,67.0,93.0,58.0,18.0,142.0,107.0,70.0,16.0,23.0,2.0,5.0,29.0,27.0,5.0,35.0,49.0,17.0,23.74,14.71,4.67,36.17,27.32,17.78,6.1,5.78,0.58,1.38,7.49,6.93,1.25,8.92,12.42
Utah,2017,26+,111.0,133.0,80.0,21.0,552.0,277.0,247.0,5.0,46.0,7.0,14.0,73.0,36.0,13.0,79.0,105.0,6.39,7.64,4.63,1.23,31.76,15.93,14.2,0.36,2.64,0.38,0.78,4.23,2.1,0.74,4.52,6.03
Utah,2018,12+,189.0,271.0,151.0,40.0,694.0,374.0,304.0,34.0,72.0,7.0,16.0,94.0,62.0,16.0,109.0,150.0,7.58,10.87,6.06,1.61,27.93,15.02,12.24,1.6,2.91,0.27,0.65,3.77,2.49,0.64,4.38,6.02
Utah,2018,12-17,18.0,27.0,14.0,2.0,16.0,12.0,6.0,10.0,8.0,0.0,1.0,8.0,7.0,1.0,5.0,10.0,6.02,8.81,4.46,0.52,5.09,3.84,1.98,2.79,2.55,0.03,0.19,2.6,2.29,0.39,1.51,3.16
