State,Age,Year,Past Month Illicit Drug Use (total),Past Year Marijuana Use (total),Past Month Marijuana Use (total),Past Year Cocaine Use (total),Past Month Alcohol Use (total),Past Month Binge Alcohol Use (total),Past Month Cigarette Use (total),First Use of Marijuana (total),Past Month Illicit Drug Use Other Than Marijuana (total),Past Year Heroin Use (total),Past Year Methamphetamine Use (total),Past Year Misuse of Pain Relievers (total),Illicit Drug Use Disorder (total),Pain Reliever Use Disorder (total),Alcohol Use Disorder (total),Substance Use Disorder (total),Past Month Illicit Drug Use %,Past Year Marijuana Use %,Past Month Marijuana Use %,Past Year Cocaine Use %,Past Month Alcohol Use %,Past Month Binge Alcohol Use %,Past Month Cigarette Use %,First Use of Marijuana %,Past Month Illicit Drug Use Other Than Marijuana %,Past Year Heroin Use %,Past Year Methamphetamine Use %,Past Year Misuse of Pain Relievers %,Illicit Drug Use Disorder %,Pain Reliever Use Disorder %,Alcohol Use Disorder %,Substance Use Disorder %
NORTHEAST REGION,18-25,2019,1546,2275,1447,370,3427,2308,1026,279,364,26,30,272,465,36,588,912,,,,,,,,,,,,,,,,
NORTHEAST REGION,17-Dec,2017,329,501,276,22,434,238,120,195,84,2,4,107,116,17,74,157,,,,,,,,,,,,,,,,
NORTHEAST REGION,17-Dec,2013,,,,,,,,,,,,,,,,,9.31,14.29,7.67,0.6,13.92,7.41,5.86,,,,,,,,,
NORTHEAST REGION,17-Dec,2016,347,509,294,24,450,253,141,197,93,3,,116,121,18,94,174,,,,,,,,,,,,,,,,
NORTHEAST REGION,26+,2014,3059,3879,2454,576,22991,8524,7399,,,,,,,,,,,,,,,,,,,,,,,,,
NORTHEAST REGION,26+,2018,3785,4819,3172,690,22597,9793,6472,99,1056,177,138,1198,806,220,1931,2496,,,,,,,,,,,,,,,,
NORTHEAST REGION,26+,2019,4257,5654,3715,672,21973,9519,6259,130,1051,145,159,1133,845,182,1870,2442,,,,,,,,,,,,,,,,
NORTHEAST REGION,18-25,2017,1634,2285,1498,403,3810,2635,1348,263,467,46,28,399,462,52,662,985,,,,,,,,,,,,,,,,
NORTHEAST REGION,18-25,2013,,,,,,,,,,,,,,,,,23.57,35.32,20.96,5.26,64.59,43,30.59,,,,,,,,,
NORTHEAST REGION,18-25,2016,1578,2279,1438,406,3890,2679,1517,261,471,49,,438,464,60,712,1018,,,,,,,,,,,,,,,,
NORTHEAST REGION,18+,2014,4513,6011,3757,894,26913,11019,9142,,,,,,,,,,,,,,,,,,,,,,,,,
NORTHEAST REGION,18+,2018,5359,7132,4640,1096,26251,12264,7674,368,1476,217,166,1547,1270,268,2569,3450,,,,,,,,,,,,,,,,
NORTHEAST REGION,18+,2019,5803,7929,5162,1041,25400,11827,7286,409,1415,172,189,1404,1310,218,2458,3355,,,,,,,,,,,,,,,,
NORTHEAST REGION,26+,2017,3574,4453,2940,699,22817,9806,6940,98,1083,165,104,1301,758,231,1956,2514,,,,,,,,,,,,,,,,
NORTHEAST REGION,26+,2013,,,,,,,,,,,,,,,,,7.28,9.5,5.68,1.53,61.61,23.13,20.13,,,,,,,,,
NORTHEAST REGION,26+,2016,3426,4306,2807,650,22442,9632,7164,85,1091,168,,1382,774,243,2066,2598,,,,,,,,,,,,,,,,
NORTHEAST REGION,12+,2014,,,,,,,,,,,,,,,,,10.31,13.88,8.58,1.94,57.8,23.81,19.69,,,,,,,,,
NORTHEAST REGION,12+,2018,,,,,,,,,,,,,,,,,11.88,15.97,10.25,2.32,55.62,26.04,16.22,2.27,3.26,0.46,0.36,3.42,2.87,0.59,5.5,7.5
NORTHEAST REGION,12+,2019,,,,,,,,,,,,,,,,,12.86,17.7,11.42,2.21,53.97,25.17,15.43,2.44,3.14,0.36,0.41,3.1,2.98,0.49,5.28,7.34
NORTHEAST REGION,18+,2017,5208,6737,4437,1102,26628,12441,8288,361,1549,212,132,1700,1220,283,2617,3499,,,,,,,,,,,,,,,,
NORTHEAST REGION,18+,2013,,,,,,,,,,,,,,,,,9.61,13.19,7.86,2.06,62.03,25.97,21.63,,,,,,,,,
NORTHEAST REGION,18+,2016,5004,6585,4245,1056,26332,12311,8681,346,1561,217,,1820,1239,303,2777,3616,,,,,,,,,,,,,,,,
NORTHEAST REGION,17-Dec,2014,,,,,,,,,,,,,,,,,9.24,13.98,7.68,0.6,13.19,6.99,5.1,,,,,,,,,
NORTHEAST REGION,17-Dec,2018,,,,,,,,,,,,,,,,,8.31,13,6.82,0.46,10.37,5.45,2.6,5.78,2.17,0.05,0.15,2.27,2.66,0.38,1.66,3.59
NORTHEAST REGION,17-Dec,2019,,,,,,,,,,,,,,,,,8.56,13.3,7.37,0.38,9.8,5.04,2.14,5.99,2.12,0.02,0.16,1.9,2.92,0.38,1.68,3.78
NORTHEAST REGION,12+,2017,,,,,,,,,,,,,,,,,11.55,15.1,9.83,2.34,56.44,26.45,17.54,2.17,3.41,0.45,0.28,3.77,2.79,0.63,5.61,7.63
MIDWEST REGION,12+,2013,4956,6735,3976,782,30964,14321,13707,,,,,,,,,,,,,,,,,,,,,,,,,
NORTHEAST REGION,12+,2016,,,,,,,,,,,,,,,,,11.2,14.84,9.5,2.26,56.02,26.28,18.46,2.07,3.46,0.46,,4.05,2.84,0.67,6.01,7.93
NORTHEAST REGION,18-25,2014,,,,,,,,,,,,,,,,,23.65,34.66,21.19,5.19,63.79,40.56,28.36,,,,,,,,,
NORTHEAST REGION,18-25,2018,,,,,,,,,,,,,,,,,26.53,38.99,24.74,6.84,61.6,41.66,20.28,9.47,7.08,0.68,0.48,5.88,7.83,0.81,10.76,16.09
NORTHEAST REGION,18-25,2019,,,,,,,,,,,,,,,,,26.58,39.12,24.88,6.35,58.93,39.69,17.65,9.82,6.26,0.45,0.52,4.67,8,0.62,10.12,15.69
NORTHEAST REGION,17-Dec,2017,,,,,,,,,,,,,,,,,8.06,12.29,6.76,0.53,10.64,5.83,2.94,5.34,2.05,0.05,0.1,2.63,2.84,0.42,1.82,3.84
MIDWEST REGION,17-Dec,2013,479,709,376,26,673,372,385,,,,,,,,,,,,,,,,,,,,,,,,,
NORTHEAST REGION,17-Dec,2016,,,,,,,,,,,,,,,,,8.45,12.39,7.15,0.58,10.95,6.16,3.44,5.34,2.25,0.08,,2.82,2.94,0.44,2.28,4.24
NORTHEAST REGION,26+,2014,,,,,,,,,,,,,,,,,8.23,10.43,6.6,1.55,61.82,22.92,19.89,,,,,,,,,
NORTHEAST REGION,26+,2018,,,,,,,,,,,,,,,,,9.96,12.69,8.35,1.82,59.48,25.78,17.03,0.55,2.78,0.47,0.36,3.15,2.12,0.58,5.08,6.57
NORTHEAST REGION,26+,2019,,,,,,,,,,,,,,,,,11.21,14.88,9.78,1.77,57.84,25.05,16.48,0.7,2.77,0.38,0.42,2.98,2.22,0.48,4.92,6.43
NORTHEAST REGION,18-25,2017,,,,,,,,,,,,,,,,,27.12,37.92,24.86,6.69,63.24,43.73,22.38,9.06,7.74,0.77,0.47,6.62,7.67,0.86,10.98,16.35
MIDWEST REGION,18-25,2013,1543,2311,1384,259,4710,3182,2543,,,,,,,,,,,,,,,,,,,,,,,,,
