State,Age,Year,Past Month Illicit Drug Use (total),Past Year Marijuana Use (total),Past Month Marijuana Use (total),Past Year Cocaine Use (total),Past Month Alcohol Use (total),Past Month Binge Alcohol Use (total),Past Month Cigarette Use (total),First Use of Marijuana (total),Past Month Illicit Drug Use Other Than Marijuana (total),Past Year Heroin Use (total),Past Year Methamphetamine Use (total),Past Year Misuse of Pain Relievers (total),Illicit Drug Use Disorder (total),Pain Reliever Use Disorder (total),Alcohol Use Disorder (total),Substance Use Disorder (total),Past Month Illicit Drug Use %,Past Year Marijuana Use %,Past Month Marijuana Use %,Past Year Cocaine Use %,Past Month Alcohol Use %,Past Month Binge Alcohol Use %,Past Month Cigarette Use %,First Use of Marijuana %,Past Month Illicit Drug Use Other Than Marijuana %,Past Year Heroin Use %,Past Year Methamphetamine Use %,Past Year Misuse of Pain Relievers %,Illicit Drug Use Disorder %,Pain Reliever Use Disorder %,Alcohol Use Disorder %,Substance Use Disorder %
SOUTH DAKOTA,18-25,2014,,,,,,,,,,,,,,,,,14.14,24.21,13.02,2.44,64.39,44.74,32.45,,,,,,,,,
SOUTH DAKOTA,18-25,2018,,,,,,,,,,,,,,,,,19.56,28.62,17.7,3.6,64.91,44.89,24.22,6.85,5.96,0.49,1.22,6.64,7.95,0.96,13.87,18.26
SOUTH DAKOTA,18-25,2019,,,,,,,,,,,,,,,,,15.9,26.69,14.74,3.57,59.82,41.53,20.65,7.84,5.13,0.33,1.17,5.24,6.33,0.72,11.86,14.61
SOUTH DAKOTA,17-Dec,2017,,,,,,,,,,,,,,,,,7.34,12.51,5.94,0.56,11.27,7.1,6.48,4.65,3,0.06,0.3,3.66,3.63,0.51,3.47,5.59
TENNESSEE,17-Dec,2013,42,63,31,3,50,31,39,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH DAKOTA,17-Dec,2016,,,,,,,,,,,,,,,,,8.04,11.98,6.72,0.75,10.66,6.82,7.17,4.75,3.29,0.1,,4.05,3.59,0.5,2.87,5.78
SOUTH DAKOTA,26+,2014,,,,,,,,,,,,,,,,,4.28,6.17,3.3,0.7,59.3,24.62,23.19,,,,,,,,,
SOUTH DAKOTA,26+,2018,,,,,,,,,,,,,,,,,6.79,9.52,5.58,0.82,62.87,29.99,20.52,0.31,2.41,0.2,0.59,3.7,2.19,0.72,6.13,7.65
SOUTH DAKOTA,26+,2019,,,,,,,,,,,,,,,,,6.23,8.67,5.13,0.77,59.09,26.51,20.08,0.5,2.03,0.25,0.63,3.08,1.63,0.45,5.45,6.55
SOUTH DAKOTA,18-25,2017,,,,,,,,,,,,,,,,,20.78,29.11,18.25,3.45,64.44,45.58,29.34,7.02,6.51,0.51,1.62,7.8,6.94,0.93,13.57,17.38
TENNESSEE,18-25,2013,122,182,104,22,333,205,228,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH DAKOTA,18-25,2016,,,,,,,,,,,,,,,,,20,26.51,17.09,3.65,64.72,47.51,31.67,7.32,7.35,0.81,,8.36,6.07,1.19,12.96,15.82
SOUTH DAKOTA,18+,2014,,,,,,,,,,,,,,,,,5.76,8.87,4.76,0.96,60.06,27.63,24.57,,,,,,,,,
SOUTH DAKOTA,18+,2018,,,,,,,,,,,,,,,,,8.62,12.26,7.31,1.22,63.16,32.12,21.05,1.16,2.92,0.24,0.68,4.12,3.02,0.75,7.24,9.17
SOUTH DAKOTA,18+,2019,,,,,,,,,,,,,,,,,7.6,11.22,6.49,1.17,59.19,28.63,20.16,1.49,2.47,0.26,0.7,3.39,2.3,0.48,6.36,7.69
SOUTH DAKOTA,26+,2017,,,,,,,,,,,,,,,,,6.67,9.48,5.4,0.82,64.59,31.29,23.4,0.42,2.65,0.23,0.82,4.05,2.36,0.68,6.99,8.23
TENNESSEE,26+,2013,222,290,158,48,1697,675,1093,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH DAKOTA,26+,2016,,,,,,,,,,,,,,,,,7.28,9.29,6.06,0.85,63.76,28.99,24.14,0.45,2.48,0.31,,3.94,2.26,0.67,6.82,8.16
TENNESSEE,12+,2014,393,560,301,60,2335,975,1240,,,,,,,,,,,,,,,,,,,,,,,,,
TENNESSEE,12+,2018,564,739,482,106,2458,1124,1205,50,181,18,43,211,157,42,258,377,,,,,,,,,,,,,,,,
TENNESSEE,12+,2019,578,780,499,87,2504,1194,1180,64,176,17,58,202,160,39,276,395,,,,,,,,,,,,,,,,
SOUTH DAKOTA,18+,2017,,,,,,,,,,,,,,,,,8.71,12.33,7.26,1.2,64.57,33.36,24.26,1.37,3.21,0.27,0.94,4.6,3.02,0.71,7.94,9.56
TENNESSEE,18+,2013,345,472,262,70,2029,880,1321,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH DAKOTA,18+,2016,,,,,,,,,,,,,,,,,9.16,11.84,7.7,1.27,63.9,31.73,25.25,1.46,3.2,0.39,,4.6,2.82,0.74,7.73,9.29
TENNESSEE,17-Dec,2014,38,59,29,2,47,26,33,,,,,,,,,,,,,,,,,,,,,,,,,
TENNESSEE,17-Dec,2018,39,59,31,2,48,26,22,24,12,0,1,13,15,2,9,20,,,,,,,,,,,,,,,,
TENNESSEE,17-Dec,2019,35,55,29,2,47,26,20,24,11,0,1,12,16,2,8,21,,,,,,,,,,,,,,,,
TENNESSEE,12+,2017,538,748,447,104,2440,1140,1307,52,194,19,30,233,151,42,269,372,,,,,,,,,,,,,,,,
TENNESSEE,12+,2013,,,,,,,,,,,,,,,,,7.16,9.93,5.42,1.36,38.61,16.91,25.24,,,,,,,,,
TENNESSEE,12+,2016,515,709,433,94,2369,1128,1371,57,198,14,,263,155,48,279,379,,,,,,,,,,,,,,,,
TENNESSEE,18-25,2014,118,179,103,23,371,218,229,,,,,,,,,,,,,,,,,,,,,,,,,
TENNESSEE,18-25,2018,150,207,137,35,337,187,174,21,44,4,10,47,47,8,56,90,,,,,,,,,,,,,,,,
TENNESSEE,18-25,2019,135,203,125,25,354,204,165,28,35,4,7,36,45,6,63,90,,,,,,,,,,,,,,,,
TENNESSEE,17-Dec,2017,38,60,29,3,46,25,24,22,13,0,1,17,16,3,8,20,,,,,,,,,,,,,,,,
TENNESSEE,17-Dec,2013,,,,,,,,,,,,,,,,,8.23,12.5,6.04,0.61,9.89,6.06,7.62,,,,,,,,,
TENNESSEE,17-Dec,2016,40,60,31,2,40,23,26,24,13,0,,20,17,2,9,21,,,,,,,,,,,,,,,,
TENNESSEE,26+,2014,237,322,170,35,1916,731,978,,,,,,,,,,,,,,,,,,,,,,,,,
TENNESSEE,26+,2018,375,473,314,69,2073,910,1009,5,125,14,33,151,95,32,193,267,,,,,,,,,,,,,,,,
TENNESSEE,26+,2019,408,523,344,61,2102,964,995,11,129,13,49,154,99,31,205,284,,,,,,,,,,,,,,,,
TENNESSEE,18-25,2017,158,223,135,37,351,205,191,23,54,5,7,56,51,9,65,98,,,,,,,,,,,,,,,,
TENNESSEE,18-25,2013,,,,,,,,,,,,,,,,,17.65,26.23,15.01,3.23,48,29.58,32.9,,,,,,,,,
TENNESSEE,18-25,2016,149,207,128,33,347,219,205,26,56,4,,66,51,10,72,97,,,,,,,,,,,,,,,,
TENNESSEE,18+,2014,355,501,273,57,2287,949,1207,,,,,,,,,,,,,,,,,,,,,,,,,
TENNESSEE,18+,2018,525,679,451,103,2411,1097,1183,26,169,18,42,198,142,40,249,357,,,,,,,,,,,,,,,,
TENNESSEE,18+,2019,543,725,469,85,2457,1168,1160,39,164,17,57,190,144,37,268,375,,,,,,,,,,,,,,,,
TENNESSEE,26+,2017,342,465,282,65,2044,910,1092,6,127,14,22,160,84,30,196,254,,,,,,,,,,,,,,,,
TENNESSEE,26+,2013,,,,,,,,,,,,,,,,,5.31,6.94,3.77,1.14,40.52,16.12,26.1,,,,,,,,,
TENNESSEE,26+,2016,326,442,273,58,1982,887,1140,7,129,10,,177,87,36,198,262,,,,,,,,,,,,,,,,
TENNESSEE,12+,2014,,,,,,,,,,,,,,,,,7.23,10.29,5.54,1.1,42.98,17.95,22.82,,,,,,,,,
TENNESSEE,12+,2018,,,,,,,,,,,,,,,,,9.99,13.09,8.55,1.88,43.55,19.91,21.35,1.6,3.2,0.32,0.77,3.75,2.78,0.74,4.57,6.68
TENNESSEE,12+,2019,,,,,,,,,,,,,,,,,10.15,13.68,8.75,1.53,43.94,20.96,20.72,1.87,3.08,0.3,1.02,3.54,2.81,0.68,4.85,6.93
TENNESSEE,18+,2017,500,688,418,102,2395,1115,1283,30,181,19,30,216,135,40,261,353,,,,,,,,,,,,,,,,
TENNESSEE,18+,2013,,,,,,,,,,,,,,,,,7.05,9.67,5.36,1.44,41.57,18.03,27.06,,,,,,,,,
TENNESSEE,18+,2016,475,649,402,91,2329,1105,1345,34,185,14,,243,138,45,270,359,,,,,,,,,,,,,,,,
TENNESSEE,17-Dec,2014,,,,,,,,,,,,,,,,,7.45,11.57,5.7,0.42,9.35,5.15,6.5,,,,,,,,,
TENNESSEE,17-Dec,2018,,,,,,,,,,,,,,,,,7.54,11.61,6.11,0.47,9.35,5.14,4.34,5.07,2.41,0.05,0.24,2.57,2.96,0.4,1.74,3.91
TENNESSEE,17-Dec,2019,,,,,,,,,,,,,,,,,6.87,10.65,5.7,0.36,9.12,5.07,3.94,4.94,2.23,0.02,0.26,2.35,3.06,0.37,1.63,4
TENNESSEE,12+,2017,,,,,,,,,,,,,,,,,9.63,13.38,8,1.87,43.68,20.4,23.4,1.68,3.48,0.34,0.55,4.16,2.7,0.76,4.82,6.66
TEXAS,12+,2013,1509,1972,1117,298,9827,4710,4196,,,,,,,,,,,,,,,,,,,,,,,,,
TENNESSEE,12+,2016,,,,,,,,,,,,,,,,,9.31,12.82,7.82,1.69,42.83,20.4,24.78,1.64,3.58,0.26,,4.75,2.8,0.86,5.05,6.86
TENNESSEE,18-25,2014,,,,,,,,,,,,,,,,,16.89,25.54,14.72,3.25,52.99,31.18,32.73,,,,,,,,,
TENNESSEE,18-25,2018,,,,,,,,,,,,,,,,,21.73,29.95,19.88,5.02,48.84,27.07,25.19,5.53,6.35,0.63,1.38,6.84,6.82,1.15,8.16,13.08
TENNESSEE,18-25,2019,,,,,,,,,,,,,,,,,19.61,29.45,18.22,3.57,51.53,29.71,24.06,7.04,5.11,0.52,1.07,5.2,6.53,0.81,9.15,13.1
TENNESSEE,17-Dec,2017,,,,,,,,,,,,,,,,,7.49,11.68,5.75,0.5,9.01,4.84,4.72,4.77,2.6,0.05,0.16,3.32,3.1,0.49,1.66,3.86
TEXAS,17-Dec,2013,179,259,134,17,263,147,119,,,,,,,,,,,,,,,,,,,,,,,,,
TENNESSEE,17-Dec,2016,,,,,,,,,,,,,,,,,7.89,11.83,6.16,0.49,7.94,4.53,5.07,4.96,2.51,0.05,,3.93,3.28,0.49,1.85,4.04
TENNESSEE,26+,2014,,,,,,,,,,,,,,,,,5.6,7.62,4.01,0.82,45.34,17.29,23.14,,,,,,,,,
TENNESSEE,26+,2018,,,,,,,,,,,,,,,,,8.45,10.64,7.07,1.55,46.67,20.49,22.71,0.27,2.81,0.31,0.73,3.4,2.13,0.72,4.34,6
TENNESSEE,26+,2019,,,,,,,,,,,,,,,,,9.07,11.62,7.65,1.35,46.74,21.43,22.12,0.48,2.87,0.3,1.09,3.42,2.21,0.69,4.56,6.32
TENNESSEE,18-25,2017,,,,,,,,,,,,,,,,,22.69,32.11,19.49,5.26,50.52,29.48,27.56,6.37,7.79,0.66,1.07,8.03,7.34,1.34,9.42,14.12
TEXAS,18-25,2013,491,742,411,119,1652,1044,881,,,,,,,,,,,,,,,,,,,,,,,,,
TENNESSEE,18-25,2016,,,,,,,,,,,,,,,,,21.25,29.54,18.34,4.66,49.58,31.2,29.32,6.53,8.01,0.59,,9.44,7.3,1.37,10.22,13.81
TENNESSEE,18+,2014,,,,,,,,,,,,,,,,,7.2,10.16,5.53,1.17,46.42,19.26,24.5,,,,,,,,,
TENNESSEE,18+,2018,,,,,,,,,,,,,,,,,10.24,13.24,8.79,2.02,46.96,21.38,23.04,1.02,3.28,0.35,0.82,3.86,2.76,0.78,4.86,6.95
TENNESSEE,18+,2019,,,,,,,,,,,,,,,,,10.47,13.98,9.05,1.64,47.38,22.53,22.37,1.38,3.17,0.33,1.09,3.66,2.78,0.71,5.17,7.22
TENNESSEE,26+,2017,,,,,,,,,,,,,,,,,7.8,10.61,6.44,1.49,46.63,20.77,24.91,0.31,2.89,0.32,0.51,3.65,1.92,0.69,4.46,5.81
TEXAS,26+,2013,838,972,572,162,7912,3519,3196,,,,,,,,,,,,,,,,,,,,,,,,,
TENNESSEE,26+,2016,,,,,,,,,,,,,,,,,7.54,10.23,6.32,1.35,45.84,20.51,26.36,0.27,2.99,0.23,,4.09,2.02,0.82,4.59,6.06
TEXAS,12+,2014,1629,2043,1275,283,10143,4782,4344,,,,,,,,,,,,,,,,,,,,,,,,,
TEXAS,12+,2018,1814,2559,1402,328,10700,5514,3974,265,682,48,127,860,500,99,1023,1388,,,,,,,,,,,,,,,,
TEXAS,12+,2019,2054,2862,1688,346,11179,5665,3913,297,687,34,119,850,519,85,1074,1447,,,,,,,,,,,,,,,,
TENNESSEE,18+,2017,,,,,,,,,,,,,,,,,9.84,13.55,8.23,2.01,47.16,21.96,25.27,1.16,3.56,0.37,0.58,4.25,2.66,0.78,5.14,6.94
TEXAS,18+,2013,1329,1714,983,281,9564,4563,4077,,,,,,,,,,,,,,,,,,,,,,,,,
TENNESSEE,18+,2016,,,,,,,,,,,,,,,,,9.46,12.92,7.99,1.81,46.36,22,26.78,1.11,3.69,0.28,,4.84,2.75,0.9,5.38,7.14
TEXAS,17-Dec,2014,195,251,142,14,252,135,100,,,,,,,,,,,,,,,,,,,,,,,,,
TEXAS,17-Dec,2018,150,244,119,11,202,99,55,102,55,1,3,80,55,8,32,80,,,,,,,,,,,,,,,,
TEXAS,17-Dec,2019,177,271,148,11,226,114,55,113,60,0,3,73,63,8,36,87,,,,,,,,,,,,,,,,
TEXAS,12+,2017,1736,2396,1357,334,10698,5302,4163,227,639,68,128,912,519,125,1040,1394,,,,,,,,,,,,,,,,
TEXAS,12+,2013,,,,,,,,,,,,,,,,,7.17,9.38,5.31,1.42,46.71,22.39,19.94,,,,,,,,,
TEXAS,12+,2016,1685,2264,1320,316,10523,5287,4152,217,645,46,,1000,536,144,1139,1491,,,,,,,,,,,,,,,,
TEXAS,18-25,2014,523,760,453,111,1689,1037,862,,,,,,,,,,,,,,,,,,,,,,,,,
TEXAS,18-25,2018,524,817,455,124,1557,971,609,119,180,14,25,191,180,24,257,392,,,,,,,,,,,,,,,,
TEXAS,18-25,2019,550,817,484,128,1583,966,568,127,171,7,22,167,173,17,259,389,,,,,,,,,,,,,,,,
TEXAS,17-Dec,2017,151,234,118,11,213,104,59,95,60,1,3,82,62,14,39,88,,,,,,,,,,,,,,,,
TEXAS,17-Dec,2013,,,,,,,,,,,,,,,,,7.81,11.27,5.83,0.74,11.46,6.38,5.17,,,,,,,,,
TEXAS,17-Dec,2016,181,251,142,14,212,119,70,99,78,1,,101,76,18,57,109,,,,,,,,,,,,,,,,
TEXAS,26+,2014,911,1032,679,159,8202,3610,3383,,,,,,,,,,,,,,,,,,,,,,,,,
TEXAS,26+,2018,1140,1498,829,194,8941,4443,3309,44,447,33,98,589,266,67,734,916,,,,,,,,,,,,,,,,
TEXAS,26+,2019,1327,1774,1057,207,9370,4585,3291,57,457,27,94,611,283,59,779,971,,,,,,,,,,,,,,,,
TEXAS,18-25,2017,530,808,452,136,1594,1039,691,103,189,21,35,214,202,28,280,421,,,,,,,,,,,,,,,,
TEXAS,18-25,2013,,,,,,,,,,,,,,,,,16.57,25.03,13.88,4.02,55.74,35.22,29.7,,,,,,,,,
TEXAS,18-25,2016,531,784,450,145,1624,1069,736,100,197,13,,213,191,29,299,422,,,,,,,,,,,,,,,,
TEXAS,18+,2014,1434,1792,1132,270,9892,4647,4245,,,,,,,,,,,,,,,,,,,,,,,,,
TEXAS,18+,2018,1664,2315,1284,317,10498,5415,3918,163,626,47,123,780,445,91,991,1308,,,,,,,,,,,,,,,,
TEXAS,18+,2019,1877,2591,1541,335,10953,5551,3858,184,628,34,116,777,456,76,1038,1360,,,,,,,,,,,,,,,,
TEXAS,26+,2017,1054,1354,788,186,8891,4158,3414,29,390,46,90,616,254,82,722,886,,,,,,,,,,,,,,,,
TEXAS,26+,2013,,,,,,,,,,,,,,,,,5.31,6.16,3.62,1.02,50.14,22.3,20.26,,,,,,,,,
TEXAS,26+,2016,973,1229,729,157,8687,4099,3347,18,371,31,,686,269,97,783,960,,,,,,,,,,,,,,,,
TEXAS,12+,2014,,,,,,,,,,,,,,,,,7.59,9.52,5.94,1.32,47.27,22.29,20.24,,,,,,,,,
TEXAS,12+,2018,,,,,,,,,,,,,,,,,7.85,11.07,6.06,1.42,46.3,23.86,17.19,1.69,2.95,0.21,0.55,3.72,2.17,0.43,4.43,6.01
TEXAS,12+,2019,,,,,,,,,,,,,,,,,8.75,12.19,7.19,1.47,47.64,24.14,16.67,1.87,2.93,0.15,0.51,3.62,2.21,0.36,4.57,6.16
TEXAS,18+,2017,1584,2163,1239,323,10485,5198,4105,132,579,67,125,830,456,110,1001,1307,,,,,,,,,,,,,,,,
TEXAS,18+,2013,,,,,,,,,,,,,,,,,7.1,9.15,5.25,1.5,51.03,24.35,21.75,,,,,,,,,
TEXAS,18+,2016,1504,2013,1178,302,10311,5169,4083,118,568,45,,899,460,126,1082,1382,,,,,,,,,,,,,,,,
TEXAS,17-Dec,2014,,,,,,,,,,,,,,,,,8.37,10.79,6.12,0.58,10.81,5.79,4.29,,,,,,,,,
TEXAS,17-Dec,2018,,,,,,,,,,,,,,,,,6.1,9.9,4.82,0.44,8.2,4.02,2.24,4.37,2.25,0.04,0.13,3.25,2.24,0.34,1.31,3.24
TEXAS,17-Dec,2019,,,,,,,,,,,,,,,,,7.12,10.92,5.94,0.44,9.1,4.58,2.19,4.86,2.4,0.01,0.11,2.92,2.52,0.34,1.43,3.49
TEXAS,12+,2017,,,,,,,,,,,,,,,,,7.64,10.55,5.98,1.47,47.12,23.35,18.33,1.54,2.81,0.3,0.56,4.02,2.28,0.55,4.58,6.14
UTAH,12+,2013,156,196,114,35,700,364,392,,,,,,,,,,,,,,,,,,,,,,,,,
TEXAS,12+,2016,,,,,,,,,,,,,,,,,7.54,10.14,5.91,1.41,47.14,23.68,18.6,1.5,2.89,0.2,,4.48,2.4,0.64,5.1,6.68
TEXAS,18-25,2014,,,,,,,,,,,,,,,,,17.36,25.25,15.06,3.67,56.11,34.44,28.63,,,,,,,,,
TEXAS,18-25,2018,,,,,,,,,,,,,,,,,16.91,26.36,14.67,3.99,50.25,31.35,19.66,6.22,5.79,0.45,0.82,6.16,5.79,0.76,8.3,12.66
TEXAS,18-25,2019,,,,,,,,,,,,,,,,,17.65,26.22,15.51,4.12,50.79,31,18.22,6.47,5.48,0.22,0.71,5.34,5.54,0.54,8.31,12.48
TEXAS,17-Dec,2017,,,,,,,,,,,,,,,,,6.23,9.61,4.86,0.46,8.77,4.27,2.41,4.21,2.47,0.04,0.13,3.39,2.56,0.58,1.6,3.61
UTAH,17-Dec,2013,20,27,15,1,22,16,15,,,,,,,,,,,,,,,,,,,,,,,,,
TEXAS,17-Dec,2016,,,,,,,,,,,,,,,,,7.56,10.47,5.94,0.57,8.86,4.95,2.9,4.52,3.24,0.04,,4.22,3.16,0.73,2.38,4.54
TEXAS,26+,2014,,,,,,,,,,,,,,,,,5.65,6.4,4.21,0.99,50.88,22.4,20.98,,,,,,,,,
TEXAS,26+,2018,,,,,,,,,,,,,,,,,6.5,8.54,4.72,1.1,50.96,25.32,18.86,0.36,2.55,0.19,0.56,3.36,1.51,0.38,4.18,5.22
TEXAS,26+,2019,,,,,,,,,,,,,,,,,7.43,9.93,5.92,1.16,52.45,25.67,18.42,0.48,2.56,0.15,0.53,3.42,1.58,0.33,4.36,5.44
TEXAS,18-25,2017,,,,,,,,,,,,,,,,,17.17,26.19,14.63,4.42,51.65,33.67,22.38,5.56,6.12,0.67,1.12,6.94,6.56,0.91,9.06,13.62
UTAH,18-25,2013,52,75,40,13,127,96,87,,,,,,,,,,,,,,,,,,,,,,,,,
TEXAS,18-25,2016,,,,,,,,,,,,,,,,,17.23,25.42,14.58,4.69,52.66,34.68,23.86,5.5,6.4,0.44,,6.92,6.2,0.96,9.69,13.68
TEXAS,18+,2014,,,,,,,,,,,,,,,,,7.5,9.37,5.92,1.41,51.71,24.3,22.18,,,,,,,,,
TEXAS,18+,2018,,,,,,,,,,,,,,,,,8.06,11.21,6.21,1.54,50.84,26.22,18.98,1.22,3.03,0.23,0.6,3.78,2.16,0.44,4.8,6.34
TEXAS,18+,2019,,,,,,,,,,,,,,,,,8.94,12.35,7.34,1.6,52.2,26.45,18.39,1.35,2.99,0.16,0.55,3.7,2.17,0.36,4.95,6.48
TEXAS,26+,2017,,,,,,,,,,,,,,,,,6.14,7.88,4.59,1.08,51.74,24.2,19.87,0.27,2.27,0.27,0.52,3.58,1.48,0.48,4.2,5.16
UTAH,26+,2013,84,93,59,20,552,252,291,,,,,,,,,,,,,,,,,,,,,,,,,
TEXAS,26+,2016,,,,,,,,,,,,,,,,,5.78,7.3,4.33,0.93,51.58,24.34,19.87,0.18,2.2,0.19,,4.07,1.6,0.58,4.65,5.7
UTAH,12+,2014,167,224,127,25,727,363,354,,,,,,,,,,,,,,,,,,,,,,,,,
UTAH,12+,2018,189,271,151,40,694,374,304,34,72,7,16,94,62,16,109,150,,,,,,,,,,,,,,,,
UTAH,12+,2019,208,314,164,32,742,413,291,35,77,7,22,94,73,15,106,158,,,,,,,,,,,,,,,,
TEXAS,18+,2017,,,,,,,,,,,,,,,,,7.81,10.67,6.11,1.59,51.72,25.64,20.25,1.06,2.86,0.33,0.62,4.09,2.25,0.54,4.94,6.44
UTAH,18+,2013,136,169,99,33,679,348,377,,,,,,,,,,,,,,,,,,,,,,,,,
TEXAS,18+,2016,,,,,,,,,,,,,,,,,7.54,10.1,5.91,1.51,51.74,25.94,20.49,0.97,2.85,0.22,,4.51,2.31,0.63,5.43,6.93
UTAH,17-Dec,2014,20,29,15,1,19,15,13,,,,,,,,,,,,,,,,,,,,,,,,,
UTAH,17-Dec,2018,18,27,14,2,16,12,6,10,8,0,1,8,7,1,5,10,,,,,,,,,,,,,,,,
UTAH,17-Dec,2019,19,32,14,2,18,13,6,12,8,0,1,6,8,1,5,12,,,,,,,,,,,,,,,,
UTAH,12+,2017,196,253,152,42,711,394,324,32,75,9,20,113,72,19,119,165,,,,,,,,,,,,,,,,
UTAH,12+,2013,,,,,,,,,,,,,,,,,6.98,8.76,5.07,1.55,31.3,16.25,17.52,,,,,,,,,
UTAH,12+,2016,176,229,125,31,709,392,319,29,79,7,,117,63,21,102,145,,,,,,,,,,,,,,,,
UTAH,18-25,2014,54,84,43,12,136,97,78,,,,,,,,,,,,,,,,,,,,,,,,,
UTAH,18-25,2018,65,96,55,18,127,92,54,16,23,2,4,26,23,4,32,44,,,,,,,,,,,,,,,,
UTAH,18-25,2019,67,104,59,15,132,95,54,16,23,1,5,21,27,3,31,47,,,,,,,,,,,,,,,,
UTAH,17-Dec,2017,18,28,14,2,17,11,8,11,7,0,1,10,8,2,5,12,,,,,,,,,,,,,,,,
UTAH,17-Dec,2013,,,,,,,,,,,,,,,,,7.33,9.95,5.35,0.53,7.82,5.85,5.4,,,,,,,,,
UTAH,17-Dec,2016,18,28,13,2,15,10,8,11,6,0,,11,8,2,6,12,,,,,,,,,,,,,,,,
UTAH,26+,2014,93,111,69,12,572,251,264,,,,,,,,,,,,,,,,,,,,,,,,,
UTAH,26+,2018,105,147,82,21,551,270,245,7,42,5,11,60,32,11,72,96,,,,,,,,,,,,,,,,
UTAH,26+,2019,121,178,90,16,592,305,232,7,46,6,16,67,38,11,70,99,,,,,,,,,,,,,,,,
UTAH,18-25,2017,67,93,58,18,142,107,70,16,23,2,5,29,27,5,35,49,,,,,,,,,,,,,,,,
UTAH,18-25,2013,,,,,,,,,,,,,,,,,14.2,20.52,10.91,3.53,34.46,26.16,23.6,,,,,,,,,
UTAH,18-25,2016,58,84,47,14,145,108,72,15,23,2,,32,27,6,34,46,,,,,,,,,,,,,,,,
UTAH,18+,2014,146,196,112,24,708,348,342,,,,,,,,,,,,,,,,,,,,,,,,,
UTAH,18+,2018,170,244,137,39,679,362,298,23,65,7,16,86,55,15,104,140,,,,,,,,,,,,,,,,
UTAH,18+,2019,189,282,149,31,724,400,286,23,69,7,21,87,65,14,101,146,,,,,,,,,,,,,,,,
UTAH,26+,2017,111,133,80,21,552,277,247,5,46,7,14,73,36,13,79,105,,,,,,,,,,,,,,,,
UTAH,26+,2013,,,,,,,,,,,,,,,,,5.26,5.85,3.68,1.28,34.65,15.78,18.24,,,,,,,,,
UTAH,26+,2016,100,116,65,14,549,274,239,3,49,5,,74,29,14,62,87,,,,,,,,,,,,,,,,
UTAH,12+,2014,,,,,,,,,,,,,,,,,7.31,9.84,5.58,1.08,31.9,15.91,15.52,,,,,,,,,
UTAH,12+,2018,,,,,,,,,,,,,,,,,7.58,10.87,6.06,1.61,27.93,15.02,12.24,1.6,2.91,0.27,0.65,3.77,2.49,0.64,4.38,6.02
UTAH,12+,2019,,,,,,,,,,,,,,,,,8.14,12.36,6.42,1.27,29.16,16.23,11.45,1.84,3.02,0.26,0.87,3.68,2.89,0.59,4.16,6.21
UTAH,18+,2017,178,226,138,40,693,384,316,21,69,9,19,103,64,18,114,153,,,,,,,,,,,,,,,,
UTAH,18+,2013,,,,,,,,,,,,,,,,,6.93,8.59,5.03,1.7,34.62,17.73,19.23,,,,,,,,,
UTAH,18+,2016,158,201,112,28,693,382,311,18,73,7,,106,56,20,96,132,,,,,,,,,,,,,,,,
UTAH,17-Dec,2014,,,,,,,,,,,,,,,,,7.12,10.12,5.42,0.36,6.76,5.16,4.6,,,,,,,,,
UTAH,17-Dec,2018,,,,,,,,,,,,,,,,,6.02,8.81,4.46,0.52,5.09,3.84,1.98,2.79,2.55,0.03,0.19,2.6,2.29,0.39,1.51,3.16
UTAH,17-Dec,2019,,,,,,,,,,,,,,,,,6.03,10.23,4.58,0.52,5.67,4.06,1.82,3.68,2.55,0.02,0.26,2.05,2.7,0.38,1.57,3.77
UTAH,12+,2017,,,,,,,,,,,,,,,,,8.05,10.4,6.25,1.71,29.25,16.22,13.34,1.7,3.09,0.37,0.81,4.66,2.95,0.79,4.89,6.78
VERMONT,12+,2013,69,104,64,11,319,115,116,,,,,,,,,,,,,,,,,,,,,,,,,
UTAH,12+,2016,,,,,,,,,,,,,,,,,7.37,9.62,5.25,1.28,29.83,16.49,13.43,1.63,3.31,0.31,,4.93,2.66,0.89,4.28,6.08
UTAH,18-25,2014,,,,,,,,,,,,,,,,,14.43,22.65,11.55,3.24,36.61,26.08,20.8,,,,,,,,,
UTAH,18-25,2018,,,,,,,,,,,,,,,,,16.42,24.23,13.81,4.52,31.99,23.01,13.51,5.57,5.72,0.45,1.09,6.48,5.7,1,8.09,11.16
UTAH,18-25,2019,,,,,,,,,,,,,,,,,16.58,25.71,14.5,3.65,32.49,23.46,13.28,5.48,5.72,0.28,1.25,5.07,6.75,0.69,7.67,11.68
UTAH,17-Dec,2017,,,,,,,,,,,,,,,,,6.1,9.2,4.71,0.69,5.77,3.57,2.66,3.19,2.2,0.04,0.2,3.45,2.72,0.51,1.75,3.84
VERMONT,17-Dec,2013,6,9,5,0,7,4,4,,,,,,,,,,,,,,,,,,,,,,,,,
UTAH,17-Dec,2016,,,,,,,,,,,,,,,,,5.96,9.64,4.32,0.81,5.25,3.54,2.85,3.47,2.07,0.06,,3.71,2.6,0.51,1.87,4.16
